distance,physical_p,rounds,shots,logical_errors,ler_per_round,ler_ci_low,ler_ci_high,decode_us,time_per_round_us
3,0.001000,3,10000,203,6.766667e-3,5.900029e-3,7.759608e-3,0.040,0.0132
3,0.002000,3,10000,406,1.353333e-2,1.228673e-2,1.490451e-2,0.047,0.0155
3,0.003000,3,10000,577,1.923333e-2,1.773957e-2,2.085020e-2,0.058,0.0193
3,0.005000,3,10000,945,3.150000e-2,2.958268e-2,3.353729e-2,0.072,0.0241
3,0.007000,3,10000,1288,4.293333e-2,4.069741e-2,4.528630e-2,0.084,0.0280
3,0.010000,3,10000,1749,5.830000e-2,5.570465e-2,6.100845e-2,0.104,0.0347
5,0.001000,5,10000,800,1.600000e-2,1.493676e-2,1.713761e-2,0.113,0.0227
5,0.002000,5,10000,1570,3.140000e-2,2.990699e-2,3.296502e-2,0.171,0.0343
5,0.003000,5,10000,2231,4.462000e-2,4.284494e-2,4.646503e-2,0.239,0.0477
5,0.005000,5,10000,3278,6.556000e-2,6.342367e-2,6.776308e-2,0.381,0.0762
5,0.007000,5,10000,4068,8.136000e-2,7.899569e-2,8.378863e-2,0.501,0.1002
5,0.010000,5,10000,5025,1.005000e-1,9.789517e-2,1.031662e-1,0.682,0.1364
7,0.001000,7,10000,1771,2.530000e-2,2.416246e-2,2.648964e-2,0.407,0.0582
7,0.002000,7,10000,3105,4.435714e-2,4.285675e-2,4.590754e-2,0.757,0.1081
7,0.003000,7,10000,4094,5.848571e-2,5.677144e-2,6.024845e-2,1.100,0.1571
7,0.005000,7,10000,5425,7.750000e-2,7.554230e-2,7.950407e-2,1.629,0.2328
7,0.007000,7,10000,6141,8.772857e-2,8.565538e-2,8.984701e-2,2.072,0.2959
7,0.010000,7,10000,6778,9.682857e-2,9.465989e-2,9.904150e-2,2.629,0.3755
9,0.001000,9,10000,2975,3.305556e-2,3.190730e-2,3.424367e-2,0.975,0.1084
9,0.002000,9,10000,4665,5.183333e-2,5.040399e-2,5.330094e-2,1.770,0.1967
9,0.003000,9,10000,5584,6.204444e-2,6.048698e-2,6.363929e-2,2.535,0.2817
9,0.005000,9,10000,6642,7.380000e-2,7.211002e-2,7.552636e-2,3.907,0.4341
9,0.007000,9,10000,7070,7.855556e-2,7.681574e-2,8.033135e-2,5.115,0.5684
9,0.010000,9,10000,7334,8.148889e-2,7.971928e-2,8.329422e-2,7.844,0.8715
11,0.001000,11,10000,4286,3.896364e-2,3.783608e-2,4.012339e-2,2.138,0.1944
11,0.002000,11,10000,5946,5.405455e-2,5.273374e-2,5.540650e-2,3.791,0.3447
11,0.003000,11,10000,6552,5.956364e-2,5.818029e-2,6.097775e-2,5.656,0.5142
11,0.005000,11,10000,7134,6.485455e-2,6.341433e-2,6.632515e-2,10.977,0.9979
11,0.007000,11,10000,7360,6.690909e-2,6.544756e-2,6.840087e-2,14.985,1.3623
11,0.010000,11,10000,7468,6.789091e-2,6.641933e-2,6.939267e-2,17.012,1.5465
13,0.001000,13,10000,5027,3.866923e-2,3.763469e-2,3.973104e-2,3.587,0.2760
13,0.002000,13,10000,6485,4.988462e-2,4.871439e-2,5.108144e-2,7.904,0.6080
13,0.003000,13,10000,6992,5.378462e-2,5.257142e-2,5.502419e-2,14.897,1.1460
13,0.005000,13,10000,7346,5.650769e-2,5.526556e-2,5.777603e-2,22.632,1.7409
13,0.007000,13,10000,7486,5.758462e-2,5.633128e-2,5.886410e-2,24.796,1.9074
13,0.010000,13,10000,7511,5.777692e-2,5.652159e-2,5.905839e-2,25.747,1.9806
